DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2025/01/02 17:28:00,AQUA_M-T,Brasil,MINAS GERAIS,BARBACENA,Mata Atlântica,0,0.3,0.0,-21.23029,-43.8148,7.5
2025/01/05 17:49:00,AQUA_M-T,Brasil,MINAS GERAIS,CENTRALINA,Cerrado,1,4.41,0.01,-18.69278,-49.12275,9.3
2025/01/05 17:49:00,AQUA_M-T,Brasil,MINAS GERAIS,ITUIUTABA,Cerrado,0,0.1,0.02,-19.28624,-49.55519,15.1
2025/01/05 17:49:00,AQUA_M-T,Brasil,MINAS GERAIS,PIRAJUBA,Cerrado,0,0.27,0.02,-19.89313,-48.75694,6.8
2025/01/05 17:49:00,AQUA_M-T,Brasil,MINAS GERAIS,ITUIUTABA,Mata Atlântica,0,0.2,0.01,-18.79936,-49.62869,10.0
2025/01/05 17:49:00,AQUA_M-T,Brasil,MINAS GERAIS,CAPINÓPOLIS,Cerrado,0,1.23,-999.0,-18.69869,-49.56908,5.8
2025/01/05 17:49:00,AQUA_M-T,Brasil,MINAS GERAIS,CANÁPOLIS,Mata Atlântica,0,0.92,0.01,-18.89811,-49.27734,15.4
2025/01/05 17:49:00,AQUA_M-T,Brasil,MINAS GERAIS,CONCEIÇÃO DAS ALAGOAS,Cerrado,0,0.0,0.02,-19.87407,-48.35221,14.8
2025/01/05 17:49:00,AQUA_M-T,Brasil,MINAS GERAIS,ITUIUTABA,Cerrado,0,0.1,0.02,-19.28485,-49.54511,14.2
2025/01/05 17:49:00,AQUA_M-T,Brasil,MINAS GERAIS,MONTE ALEGRE DE MINAS,Cerrado,2,5.57,0.0,-18.80421,-48.80595,10.2
2025/01/07 17:30:00,AQUA_M-T,Brasil,MINAS GERAIS,PIRAJUBA,Cerrado,0,0.97,0.01,-19.92208,-48.56147,16.2
2025/01/07 17:30:00,AQUA_M-T,Brasil,MINAS GERAIS,SANTA VITÓRIA,Mata Atlântica,0,0.1,0.02,-18.9663,-50.41937,23.9
2025/01/07 17:30:00,AQUA_M-T,Brasil,MINAS GERAIS,ITAÚ DE MINAS,Mata Atlântica,1,0.07,0.01,-20.75184,-46.75326,11.4
2025/01/07 17:30:00,AQUA_M-T,Brasil,MINAS GERAIS,UBERLÂNDIA,Cerrado,1,2.96,0.0,-19.20196,-48.03397,15.7
2025/01/10 17:49:00,AQUA_M-T,Brasil,MINAS GERAIS,CAPINÓPOLIS,Cerrado,0,2.26,-999.0,-18.69201,-49.5689,5.2
2025/01/10 17:49:00,AQUA_M-T,Brasil,MINAS GERAIS,CONCEIÇÃO DAS ALAGOAS,Cerrado,0,0.0,0.14,-19.95855,-48.55121,9.1
2025/01/10 17:49:00,AQUA_M-T,Brasil,MINAS GERAIS,CANÁPOLIS,Cerrado,0,0.8,0.03,-18.81703,-49.27766,10.9
2025/01/10 17:49:00,AQUA_M-T,Brasil,MINAS GERAIS,CANÁPOLIS,Mata Atlântica,0,0.45,0.04,-18.90045,-49.27794,11.6
2025/01/10 17:49:00,AQUA_M-T,Brasil,MINAS GERAIS,UBERLÂNDIA,Cerrado,0,0.0,0.01,-19.31077,-48.39797,10.2
2025/01/10 17:49:00,AQUA_M-T,Brasil,MINAS GERAIS,IGUATAMA,Cerrado,0,0.2,0.1,-20.04317,-45.71355,7.3
2025/01/10 17:49:00,AQUA_M-T,Brasil,MINAS GERAIS,PERDIZES,Cerrado,3,0.0,0.03,-19.36111,-47.17105,4.6
2025/01/10 17:49:00,AQUA_M-T,Brasil,MINAS GERAIS,FRONTEIRA,Cerrado,0,0.0,0.06,-20.23921,-49.25024,14.3
